@RELATION propiedades

@ATTRIBUTE precio_arriendo_cop NUMERIC
@ATTRIBUTE admin_cop NUMERIC
@ATTRIBUTE area_m2 NUMERIC
@ATTRIBUTE habitaciones NUMERIC
@ATTRIBUTE banos NUMERIC
@ATTRIBUTE parqueaderos NUMERIC
@ATTRIBUTE tipo_inmueble {'apartamento','oficina','casa','apartaestudio','otro','bodega','lote','local','finca'}
@ATTRIBUTE barrio_estrato NUMERIC
@ATTRIBUTE barrio_area_km2 NUMERIC
@ATTRIBUTE barrio_estado_pavimento {'MALO','REGULAR','BUENO'}
@ATTRIBUTE barrio_iluminacion_led {0,1}
@ATTRIBUTE precio_rango {'medio','premium','bajo','alto'}

@DATA
27000000,?,400,?,6,?,'oficina',4,0.6,'BUENO',1,'premium'
30000000,?,750,?,3,?,'oficina',4,0.6,'BUENO',1,'premium'
5500000,?,250,2,2,?,'casa',4,0.6,'BUENO',1,'alto'
16500000,?,650,?,2,?,'bodega',4,0.6,'BUENO',1,'premium'
1397000,303000,98,3,2,?,'apartamento',4,0.6,'BUENO',1,'bajo'
17200000,?,369,?,4,1,'oficina',4,0.6,'BUENO',1,'premium'
1282353,100000,25,?,1,?,'oficina',4,0.6,'BUENO',1,'bajo'
3500000,?,200,3,1,?,'casa',4,0.6,'BUENO',1,'medio'
15000000,?,800,?,1,?,'bodega',4,0.6,'BUENO',1,'premium'
12500000,?,200,?,?,?,'local',4,0.6,'BUENO',1,'premium'
1800000,?,58,3,2,?,'apartamento',4,0.6,'BUENO',1,'bajo'
2500000,?,46,?,1,?,'local',4,0.6,'BUENO',1,'medio'
12000000,?,535,?,2,?,'oficina',4,0.6,'BUENO',1,'premium'
2300000,?,80,3,2,?,'apartamento',4,0.6,'BUENO',1,'medio'
5000000,?,100,?,1,?,'local',4,0.6,'BUENO',1,'alto'
45000000,?,1796,?,4,?,'bodega',4,0.6,'BUENO',1,'premium'
1283000,317000,118,3,2,?,'apartamento',4,0.6,'BUENO',1,'bajo'
3500000,?,95,3,2,?,'apartamento',4,0.6,'BUENO',1,'medio'
5000000,480000,109,?,1,?,'oficina',4,0.6,'BUENO',1,'alto'
2500000,?,18752,3,?,?,'casa',4,0.6,'BUENO',1,'medio'
27000000,?,400,?,6,?,'oficina',4,0.6,'BUENO',1,'premium'
30000000,?,750,?,3,?,'oficina',4,0.6,'BUENO',1,'premium'
5500000,?,250,2,2,?,'casa',4,0.6,'BUENO',1,'alto'
16500000,?,650,?,2,?,'bodega',4,0.6,'BUENO',1,'premium'
1397000,303000,98,3,2,?,'apartamento',4,0.6,'BUENO',1,'bajo'
17200000,?,369,?,4,1,'oficina',4,0.6,'BUENO',1,'premium'
1282353,100000,25,?,1,?,'oficina',4,0.6,'BUENO',1,'bajo'
